AnnesleyHall,AN
AnthropologyBuilding,AP
Astronomy&AstrophysicsBuilding,AB
BackCampusFields,BK
BahenCentreforInformationTechnology,BA
BancroftBuilding,BF
BantingInstitute,BI
BestInstitute,CB
Birge-CarnegieLibrary,BC
BloorStreetWest-371,FE
BordenBuildingNorth,NB
BordenBuildingSouth,SB
BrennanHall,BR
BurwashHall,BW
BurwashResidence(LowerHouses),LB
BurwashResidence(UpperHouses),UB
C.DavidNaylorBuilding,NL
CanadianaGallery,CG
CarrHall,CR
CentralSteamPlant,ST
CharlesSt.West-30,C1
CharlesSt.West-35,C2
CharlesStreetWest-65,LH
ChestnutResidenceandConferenceCentre,CN
ClaraBensonBuilding,BN
ClaudeT.BissellBuilding,BL
CollegeStreet-229,CZ
CollegeStreet-88,ZC
CommunicationsHouse,CX
ConvocationHall,CH
CumberlandHouse,CU
D.L.PrattBuilding,PT
DanielsBuilding,DA
DentistryBuilding,DN
E.J.PrattLibrary,PR
EarlyLearningCentre,ER
EarthSciencesCentre,ES
EdwardJohnsonBuilding,EJ
EdwardStreet-123,ED
ElectrometallurgyLab,EL
ElmsleyHall,EH
EmmanuelCollege,EM
EngineeringAnnex,EA
EnrolmentServices,AD
ExamCentre,EX
Factor-InwentashFacultyofSocialWork,SK
FacultyClub,FC
FacultyofLaw,LW
FalconerHall,FH
FaskenMartineauBuilding,LG
FieldsInstforResearchinMathScience,FI
FisherHouse,FS
FitzGeraldBuilding,FG
FoundersHouse,BH
FutureDevonshireBuilding,
GageBuilding,GA
GalbraithBuilding,GB
GeorgeIgnatieffTheatre,GI
GeraldLarkinBuilding,LA
GersteinScienceInformationCentreintheSigmundSamuelLibraryBldg,SM
GilsonHouse,GH
GoldringCentreforHighPerformanceSport,GO
GoldringStudentCentre,GC
GraduateHouse,GD
GraduateStudents'Union,GU
HartHouse,HH
HaultainBuilding,HA
HealthSciencesBuilding,HS
HuronStreet-215,HU
HuronStreet-370,CA
InnisCollege,IN
InnisCollegeStudentResidence,IS
IsabelBaderTheatre,BT
J.M.KellyLibrary,KL
J.RobertS.PrichardAlumniHouse,DR
JackmanHumanitiesBuilding,JH
JohnP.RobartsLibraryBuilding,RL
KnoxCollege,KX
KofflerHouse,KP
KofflerStudentServicesCentre,KS
LashMillerChemicalLaboratories,LM
LassondeMiningBuilding,MB
LeightonGoldieMcCarthyHouse(ChildStudy),WR
LeslieL.DanPharmacyBuilding,PB
LillianMasseyBuilding,LI
LorettoCollege,LC
LouisB.StewartObservatory(UTSU),SO
LuellaMasseyStudioTheatre,GM
Macdonald-MowatHouse,MM
MargaretAddisonHall,MG
MaritainHouse,
MARS2,M2
MasseyCollege,MA
MaxGluskinHouse,GE
McCaulStreet-254/256,RM
McCorkellHouse,MZ
McLennanPhysicalLaboratories,MP
McMurrichBuilding,MR
MechanicalEngineeringBuilding,MC
MedicalSciencesBuilding,MS
MoreHouse,MH
MorrisonHall,MO
MunkSchoolofGlobalAffairs&PublicPolicy-GrahamLibrary,MU
MunkSchoolofGlobalAffairs&PublicPolicyattheObservatory,MK
MunkSchoolofGlobalAffairs&PublicPolicyatTrinity,MU
MunkSchoolofGlobalAffairs&PublicPolicyatTrinity,MU
MuzzoFamilyAlumniHall,AH
MyhalCentreforEngineeringInnovationandEntrepreneurship,MY
NewCollegeIII,NR
NonaMacdonaldVisitorsCentre,VI
NorthWestChillerPlant,NW
NorthropFryeHall,NF
Odette(Louis)Hall,OH
OldAdminBldg,OA
OntarioInstituteforStudiesinEducation,OI
PhelanHouse,PH
Queen'sParkCrescentEast-39,ME
Queen'sParkCrescentEast-43,XQ
Queen'sParkCrescentEast-59,PI
Queen'sParkCrsc.E.-39A,ML
RamsayWrightLaboratories,RW
RegisCollege,RG
RehabilitationSciencesBuilding,RU
RosebrughBuilding,RS
RotmanSchoolofManagement,RT
RowellJackmanHall,RJ
SamSorbaraHallStudentResidence,SR
SandfordFlemingBuilding,SF
SchoolofContinuingStudies,CS
SchoolofGraduateStudies,GS
SidneySmithHall,SS
SimcoeHall,SI
SirDanielWilsonResidence,SD
Soldiers'Tower,TR
SpadinaAve-455,TT
SpadinaAve-713(DemolishedMarch2019),SA
SpadinaAvenue-665,XG
SpadinaAvenue-703,IA
SpadinaAvenue-720,FA
St.Basil'sChurch,BS
St.GeorgeStreet-121,IR
St.GeorgeStreet-123,WA
St.GeorgeStreet-162,CO
St.GeorgeStreet-45,PG
St.Hilda'sCollege,HI
StephensonHouse,SN
StewartBuilding,EP
StudentCommons(UnderRenovation),SU
SullivanHouse,SV
SussexAvenue-40,SX
SussexCourt,SC
TeefyHall,TF
TerrenceDonnellyCtrforCellular&BiomolecularRes,DC
ThomasFisherRareBookLibraryBuilding,RB
TorontoSchoolofTheology,TH
TrinityCollege,TC
TWH-KrembilDiscoveryTower,KT
UniversityCollege,UC
UniversityCollegeUnion,UP
VarsityCentre,VA
VarsityPavilion,VP
VictoriaCollege,VC
WallbergBuilding,WB
WarrenStevensBuilding,WS
WellesleyStreetWest-90,JP
WellesleyStreetWest-90,JP
WetmoreHall-NewCollege,WE
WhitneyHall,WT
WilsonHall-NewCollege,WI
WindleHouse,WN
WoodsworthCollege,WW
WoodsworthCollegeResidence,WO
WycliffeCollege,WY
